objectid,island,zone_type,zone_desc,zone_code,tsu_evac,evac_zone,mapnum,mapname,areausac,st_areashape,st_perimetershape
1,HAWAII,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,2537613.86157563,10269400030.8476,527626.309502487
2,NIIHAU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,0,,6339.30343231,25654353.4258959,22748.2091518979
3,NIIHAU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,0,,22128.48014199,89551140.1847832,60733.880416033
4,KAUAI,Tsunami Safe Zone,Evacuate to this area.,3,0,,,,329459.21810514,1333279485.82029,327780.797598496
5,OAHU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,356.74078379,1443684.50673881,5635.33028840204
6,OAHU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,326673.7196717,1322006928.50514,356439.235544177
7,OAHU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,187.70461749,759616.675259565,3416.19078868995
8,OAHU,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,311.23059849,1259510.58437088,4662.09323848088
9,MOLOKINI,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,19.72801523,79836.76447626,1977.29888096473
10,KAHOOLAWE,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,28549.42253801,115535876.096804,69411.0587759331
11,LANAI,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,87858.06009084,355550376.938298,116779.081788732
12,MOLOKAI,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,158255.50099632,640439852.343938,309635.647987979
13,MAUI,Tsunami Safe Zone,Evacuate to this area.,3,0, ,,,448929.74716947,1816761497.57791,515342.094778593
14,MOLOKAI,Extreme Tsunami Evacuation Zone,Evacuate out of these areas for an Extreme Tsunami Warning.,2,1,Yes,,,46.13269528,186693.140953809,20876.9511778958
15,MOLOKAI,Extreme Tsunami Evacuation Zone,Evacuate out of these areas for an Extreme Tsunami Warning.,2,1,Yes,,,231.43923685,936605.108443581,35216.283466335
16,MOLOKAI,Extreme Tsunami Evacuation Zone,Evacuate out of these areas for an Extreme Tsunami Warning.,2,1,Yes,,,34.21976222,138483.01844592,8818.42950974356
