objectid,vhzones_id,hzone,mzone,st_areashape,st_perimetershape
1,1,9,3,599738695.993651,120194.137093294
2,2,8,4,2105882185.97672,293429.837370935
3,5,3,5,1200084276.42053,209419.112281111
4,3,7,4,328800871.346991,72175.0999263967
5,4,4,1,812188683.454208,131779.630900053
6,7,3,5,779203699.37239,163521.308670388
7,6,2,5,715415369.252711,180801.073825761
8,8,3,2,562874138.522203,189710.93929408
9,9,2,2,82954885.4098942,51174.7133502532
10,10,1,5,192975477.96384,153077.639066827
11,13,1,2,275817500.131829,185066.129344868
12,14,2,2,336774571.641081,128099.962270337
13,11,6,5,303858461.06779,71562.9665035027
14,12,2,5,1330548352.21453,286220.954416597
15,16,3,2,139273169.095333,73970.0111893673
16,15,5,2,77549296.3176575,37531.2812289794
17,17,3,5,441178246.616678,113931.075150356
18,18,6,5,173552683.938896,75691.138343626
