_id,COUNTY,UNIQUE_ID,LOCATION,DECIBEL,Location 1
1,MAUI,MA304,Hamoa,115,"(20.719, -155.988)"
2,HAWAII,HA917,Ahulanui Beach Park,119,"(19.468, -154.832)"
3,MAUI,MA121,Wailea #1-Mokapu-Ulua BP,124,"(20.691, -156.443)"
4,KAUAI,KA505,Poipu Bch Pk,124,"(21.874, -159.454)"
5,HONOLULU,OA424,Hauula Beach Park,118,"(21.613, -157.911)"
6,HONOLULU,OA213A,Whitmore Village,124,"(21.51, -158.019)"
7,HONOLULU,OA203,Sharks Cove,121,"(21.646, -158.063)"
8,HAWAII,HA102,Baker Ave.,115,"(19.727, -155.044)"
9,KAUAI,KA210,Wailua (SPS),115,"(22.051, -159.334)"
10,MAUI,MA408,Kaanapali #1 STP,126,"(20.945, -156.687)"
11,KAUAI,KA703,Waimea Canyon Dr,124,"(21.964, -159.666)"
12,HONOLULU,OA122,Booth Park,119,"(21.32, -157.843)"
13,HONOLULU,OA311A,Honouliuli,118,"(21.363, -158.027)"
14,HONOLULU,OA404,Kailua Heights/Keolu Hills,119,"(21.37, -157.73)"
15,HAWAII,HA107,Federal Building,121,"(19.725, -155.089)"
16,MAUI,MA103,Paukukalo (IGE),115,"(20.903, -156.481)"
17,HONOLULU,OA212A,Mokuleia Beach Park,121,"(21.577, -158.217)"
18,HONOLULU,OA308,Crestview Park,126,"(21.409, -157.994)"
19,HONOLULU,OA109A,Wilson PK,121,"(21.281, -157.784)"
20,HAWAII,HA112,Kolekole,124,"(19.883, -155.119)"
21,HAWAII,HA902,Shipman Park,124,"(19.622, -155.041)"
22,MAUI,MA125,Makena,115,"(20.661, -156.439)"
23,MAUI,MA136,Haycraft Park,121,"(20.797, -156.503)"
24,MAUI,MA412,Wahikuli,119,"(20.899, -156.684)"
25,MAUI,MA510,Kaluakoi MOL.,119,"(21.19, -157.243)"
26,HAWAII,HA701,"Kealakekua, Kona",119,"(19.516, -155.917)"
27,HAWAII,HA404,Hapuna Beach Park,128,"(19.991, -155.823)"
28,HONOLULU,OA318A,Maili North,121,"(21.415, -158.176)"
29,HONOLULU,OA332,Kalaeloa USCG,115,"(21.299, -158.072)"
30,HONOLULU,OA413,King Intermediate Sch,115,"(21.427, -157.807)"
31,HAWAII,HA607,Kahaluu Beach Park,124,"(19.578, -155.966)"
32,HAWAII,HA405,Puako #1,118,"(19.972, -155.84)"
33,HONOLULU,OA227,Mililani Mauka BWS-H1,121,"(21.463, -157.998)"
34,HAWAII,HA805,Hawaiian Ocean View Estates #1,124,"(19.084, -155.776)"
35,HAWAII,HA116,Hilo State Off Bldg,121,"(19.718, -155.077)"
36,MAUI,MA509,"Kawela, Mol",115,"(21.066, -156.953)"
37,KAUAI,KA519,Port Allen,121,"(21.9, -159.587)"
38,MAUI,MA108,Kuau Store,115,"(20.919, -156.377)"
39,HONOLULU,OA106,Aina Haina Elem. Sch.,115,"(21.278, -157.755)"
40,MAUI,MA301,Hana School,115,"(20.752, -155.984)"
41,HONOLULU,OA102,Hanauma Bay,126,"(21.274, -157.696)"
42,HAWAII,HA304,Ookala,115,"(20.014, -155.283)"
43,HAWAII,HA705,City of Refuge,124,"(19.423, -155.908)"
44,KAUAI,KA305,Isenburg Field,121,"(21.984, -159.369)"
45,HONOLULU,OA315,Kahe Point,124,"(21.35, -158.129)"
46,HONOLULU,OA417,Waihole/Waihole Bch Pk,115,"(21.483, -157.845)"
47,MAUI,MA135,Waiehu Beach Park,119,"(20.922, -156.493)"
48,HONOLULU,OA133,Honolulu International Airport Maintenance Yard,115,"(21.331, -157.906)"
49,HONOLULU,OA319,Maili Beach Park,110,"(21.424, -158.178)"
50,HAWAII,HA903,Pahoa,121,"(19.491, -154.945)"
51,HONOLULU,OA410,Castle HS,126,"(21.404, -157.795)"
52,KAUAI,KA112,Kilauea,115,"(22.202, -159.407)"
53,HONOLULU,OA301,Aiea El Sch,115,"(21.375, -157.928)"
54,HAWAII,HA502,Niulii (Keokea Pk),124,"(20.226, -155.745)"
55,HONOLULU,OA121,Frank Fasi Municipal Bldg,126,"(21.304, -157.854)"
56,MAUI,MA402,Maluuluolele,126,"(20.868, -156.675)"
57,MAUI,MA504,"Kamalo, Mol",115,"(21.053, -156.871)"
58,HONOLULU,OA414,Heeia Kea Pier,115,"(21.443, -157.809)"
59,HONOLULU,OA117A,Makiki Dist Pk,124,"(21.302, -157.837)"
60,HONOLULU,OA217,Mililani HS,126,"(21.451, -158.015)"
61,KAUAI,KA512,Waha Park,121,"(21.904, -159.514)"
62,HONOLULU,OA206,Kawailoa Beach,115,"(21.627, -158.073)"
63,MAUI,MA104,Kahului Base Yard,121,"(20.891, -156.462)"
64,KAUAI,KA204,Kapahi Pk,121,"(22.099, -159.347)"
65,MAUI,MA130,Kamaole III,121,"(20.711, -156.445)"
66,HONOLULU,OA313,Makakilo BWS,121,"(21.348, -158.083)"
67,HAWAII,HA909,Pohoiki,119,"(19.459, -154.842)"
68,HONOLULU,OA126,Kalihi Elem. Sch.,110,"(21.351, -157.861)"
69,HONOLULU,OA323,Mauna Lahilahi Beach Pk,121,"(21.459, -158.206)"
70,MAUI,MA115,Wells Park,119,"(20.886, -156.499)"
71,KAUAI,KA211,Wailua Houselots,115,"(22.054, -159.343)"
72,MAUI,MA116,Kahului School,124,"(20.879, -156.472)"
73,KAUAI,KA705,Kekaha Graveyard,115,"(21.961, -159.693)"
74,HONOLULU,OA209,Mokuleia East (Silva's Pump),124,"(21.573, -158.151)"
75,HAWAII,HA103,Onekahakaha,121,"(19.734, -155.035)"
76,HONOLULU,OA305,Pearl City,115,"(21.393, -157.969)"
77,HONOLULU,OA407A,Coconut Grove Field,124,"(21.403, -157.755)"
78,KAUAI,KA105,Hanalei,115,"(22.204, -159.492)"
79,HONOLULU,OA113,Kapahulu Library,126,"(21.275, -157.817)"
80,HONOLULU,OA403A,Maunawili Valley Park,121,"(21.372, -157.763)"
81,HONOLULU,OA322,Waianae HS,110,"(21.456, -158.201)"
82,HONOLULU,OA202,Sunset Beach El Sch,115,"(21.663, -158.051)"
83,HAWAII,HA108,Kaumana Dr,119,"(19.697, -155.116)"
84,HONOLULU,OA213,Fred Wright Park,128,"(21.498, -158.023)"
85,HAWAII,HA908,Kaimu,121,"(19.365, -154.968)"
86,KAUAI,KA707,Kekaha Gardens,124,"(21.97, -159.717)"
87,HONOLULU,OA308A,Village Park,124,"(21.389, -158.027)"
88,KAUAI,KA205,Kapaa High School,115,"(22.091, -159.315)"
89,HONOLULU,OA109,Maunalani Pk,126,"(21.295, -157.79)"
90,HONOLULU,OA125,Kamehameha Park,121,"(21.334, -157.872)"
91,KAUAI,KA507,Kuhio Park (Koloa Landing),119,"(21.882, -159.469)"
92,HONOLULU,OA425,Polynesian Cul Ctr,124,"(21.636, -157.922)"
93,HONOLULU,OA400,Sea Life Park,118,"(21.312, -157.661)"
94,HONOLULU,OA230,Mililani Mauka Dist Park,121,"(21.47, -158.006)"
95,HAWAII,HA501,"Hawi, North Kohala",115,"(20.217, -155.883)"
96,HAWAII,HA608,Kainaliu,124,"(19.534, -155.924)"
97,HONOLULU,OA330,Kapolei,121,"(21.334, -158.076)"
98,KAUAI,KA101,Haena,119,"(22.219, -159.566)"
99,HONOLULU,OA103A,Hahaione Valley,124,"(21.295, -157.708)"
100,HONOLULU,OA311,Ewa Beach Shopping Center,126,"(21.315, -158.013)"
101,HAWAII,HA401,Waimea Park,115,"(20.022, -155.671)"
102,MAUI,MA120,Kahakuloa,121,"(20.996, -156.55)"
103,MAUI,MA403,Old Cannery Kapunakea,115,"(20.887, -156.683)"
104,HAWAII,HA603,Alii Kai Sub Div,115,"(19.61, -155.977)"
105,KAUAI,KA303,Hanamaulu,119,"(21.99, -159.353)"
106,HONOLULU,OA135,Moanalua Gardens,126,"(21.349, -157.89)"
107,HONOLULU,OA216,Kipapa El Sch,115,"(21.46, -158.012)"
108,HONOLULU,OA106A,Wailupe Valley Pk,115,"(21.293, -157.754)"
109,HAWAII,HA913,Paradise Park #3,119,"(19.608, -154.963)"
110,KAUAI,KA313,Niumalu,119,"(21.953, -159.36)"
111,HONOLULU,OA421,Kahana Bay Boat Ramp,124,"(21.558, -157.876)"
112,HONOLULU,OA416A,Kahaluu Regional Pk,115,"(21.459, -157.841)"
113,HONOLULU,OA316,Nanaikapono School,126,"(21.378, -158.142)"
114,HONOLULU,OA129,Kalakaua Rec Ctr,126,"(21.327, -157.878)"
115,HONOLULU,OA411,Keapuka,119,"(21.399, -157.802)"
116,MAUI,MA202,Manele Golf Crs Svc Rd,119,"(20.746, -156.896)"
117,HAWAII,HA111,Honomu,115,"(19.867, -155.112)"
118,HONOLULU,OA101,Kokohead,115,"(21.263, -157.706)"
119,HAWAII,HA806,Hawaiian Ocean View Estates #2,124,"(19.098, -155.787)"
120,MAUI,MA407,Lahaina 1st Hawn/Papalaua St.,119,"(20.878, -156.678)"
121,MAUI,MA124,Airport-Kanaha Bch,124,"(20.901, -156.434)"
122,KAUAI,KA517,Eleele School,115,"(21.911, -159.584)"
123,HONOLULU,OA420,Swanzy Beach Park,124,"(21.555, -157.852)"
124,HONOLULU,OA226,Mililani Tech park,115,"(21.481, -158.014)"
125,MAUI,MA107,Paia Courthouse,115,"(20.917, -156.374)"
126,HONOLULU,OA130,Sand Island Access Rd,115,"(21.328, -157.887)"
127,HAWAII,HA101,Leleiwi,121,"(19.734, -155.013)"
128,KAUAI,KA111,Kahiliwai,115,"(22.217, -159.425)"
129,HONOLULU,OA104,Maunalua Beach Pk,121,"(21.283, -157.716)"
