objectid,id,island,volcano,line_code,description,relation,name,source,st_lengthshape
1,1,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",934.475865660743
2,2,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1318.18485847633
3,3,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",828.426788799482
4,4,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",263.254846108197
5,5,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",90.2962366976451
6,6,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",192.395739963214
7,7,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",970.44503468316
8,8,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",844.289096785742
9,9,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",813.834818856392
10,10,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",385.535188011187
11,11,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",253.815679112264
12,12,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1090.2386816206
13,13,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",110.360762984261
14,14,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",663.981912471943
15,15,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",218.017198741657
16,16,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",359.661036659804
17,17,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",196.181315216909
18,18,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",317.43100262117
19,19,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1248.17601100489
20,20,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",902.894267274849
21,21,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",219.967594599956
22,22,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",564.486792840938
23,23,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",406.625997399772
24,24,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",133.815678106794
25,25,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",737.831538581973
26,26,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",560.996934079612
27,27,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1006.32080055904
28,28,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",296.524781279317
29,29,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1365.36226055543
30,30,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",263.537102448425
31,31,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",651.944286350025
32,32,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",321.553766796167
33,33,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",366.813631118673
34,34,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",557.075873215548
35,35,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",551.929203433565
36,36,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",358.522342262781
37,37,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",187.277277122584
38,38,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",82.0084407613535
39,39,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",618.466062906687
40,40,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",275.885975712348
41,41,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",265.2945610619
42,42,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",4264.90400036085
43,43,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1008.35884804423
44,44,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2983.14880220652
45,45,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",193.255741650276
46,46,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1248.19324538919
47,47,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",491.398320210005
48,48,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",132.570959116216
49,49,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",70.2929109161984
50,50,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",192.653040289004
51,51,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",685.318784037809
52,52,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",726.6646165187
53,53,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",73.8895888401963
54,54,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",153.258735969395
55,55,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",124.11355279444
56,56,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",286.294643008577
57,57,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",278.859039884905
58,58,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",390.732607451629
59,59,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",440.404326284524
60,60,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",321.759731662705
61,61,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",332.874521295809
62,62,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",394.277204730456
63,63,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",396.814755944213
64,64,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",137.643737894082
65,65,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",610.570163627615
66,66,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",733.83664881019
67,67,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",495.364228366781
68,68,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",902.37291931887
69,69,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",102.992114183875
70,70,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",547.791646882284
71,71,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",476.689924196794
72,72,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",977.340018330117
73,73,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",87.7217552987868
74,74,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",329.7178862825
75,75,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",666.409682796704
76,76,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",354.47408572814
77,77,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",821.38313414255
78,78,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",482.172711734665
79,79,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",636.048267292759
80,80,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",330.598921950949
81,81,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",344.621027457088
82,82,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",429.427552538712
83,83,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",848.084506701874
84,84,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",20.3886194593732
85,85,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",970.483857016462
86,86,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1019.25514767382
87,87,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",330.31016875814
88,88,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",82.911540562153
89,89,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",807.310219468722
90,90,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",93.6355965871508
91,91,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",143.531147445441
92,92,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",753.088705661792
93,93,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",899.216582457945
94,94,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",677.089389687038
95,95,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",218.549416428281
96,96,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",348.363541826042
97,97,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",293.10171131885
98,98,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",847.59439754839
99,99,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",287.247218143851
100,100,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1400.65006718091
101,101,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",265.173547531802
102,102,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",177.969153050903
103,103,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",149.107479962378
104,104,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",447.045942138199
105,105,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",459.269400311866
106,106,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",394.556302433348
107,107,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",604.981855620727
108,108,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",366.273893998825
109,109,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",150.152117227702
110,110,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",502.58117776539
111,111,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",438.815127886638
112,112,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",53.0323265391229
113,113,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",518.117475979667
114,114,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1040.09894728467
115,115,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",128.192505118505
116,116,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",236.80422643012
117,117,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",146.060070314752
118,118,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",55.3669834421531
119,119,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",65.5187074165434
120,120,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",351.163076784386
121,121,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",663.866814435133
122,122,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",512.780841848576
123,123,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",21.0688753611135
124,124,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",286.503279736032
125,125,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",366.957239335619
126,126,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",362.852716816512
127,127,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",332.829323425174
128,128,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",795.324673918401
129,129,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",541.405573522808
130,130,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",453.242850148477
131,131,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",61.3014445725056
132,132,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",985.108252599468
133,133,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",135.164304000727
134,134,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",339.441291042402
135,135,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",294.292937755635
136,136,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",244.553296358723
137,137,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",123.433938648996
138,138,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",206.947762760084
139,139,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",601.605740276063
140,140,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",857.845933743399
141,141,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",136.345669333203
142,142,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",782.725754794288
143,143,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",367.687480196265
144,144,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",91.7078247089999
145,145,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",261.002934199176
146,146,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",90.3696143074253
147,147,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",229.988165083803
