objectid,commu_name,island,risk_rating,zone,st_areashape,st_perimetershape
1,Makua Keeau,Oahu,High,1,2950932.44829595,10839.3145635425
2,Makaha,Oahu,High,1,12521719.0211225,15218.4405256822
3,Waianae,Oahu,High,1,13074181.3756688,17224.3916422555
4,Maili,Oahu,High,1,18953705.3976504,19702.8832028193
5,Nanakuli,Oahu,High,1,15753094.3060943,22360.6814379541
6,Honokai Hale/Koolina,Oahu,High,1,4409719.52571784,9091.25488543963
7,Barbers Point,Oahu,High,1,9425644.80510542,12195.205317752
8,Ewa,Oahu,High,1,18946801.3939334,20292.1559905681
9,Mililani,Oahu,High,2,36028761.1072793,26169.051028569
10,Waikele,Oahu,High,1,18125841.8306396,19031.4536440143
11,East Honolulu (Hawaii Kai),Oahu,Medium,3,35570764.188436,72664.2892250297
12,Pearl City,Oahu,High,2,37276125.7878795,39661.0147262974
13,Honolulu,Oahu,Low,4,89670331.3999533,98998.6739106397
14,Waimanalo,Oahu,Low,5,17543579.1389067,21729.6903701509
15,Kailua,Oahu,Low,5,35646112.2237422,35362.3231760899
16,Kaneohe,Oahu,Low,5,23761621.337357,25307.3929074522
17,Kahaluu,Oahu,Low,5,17351963.4254897,21448.5306963178
18,Kaaawa/Kahana,Oahu,Low,5,14149882.6214947,18346.5765111844
19,Punaluu,Oahu,Low,5,9853739.81854419,14208.6374655316
20,Hauula,Oahu,Low,5,4614171.61762411,10338.3046457064
21,Laie,Oahu,Low,5,9265778.88423636,17677.8619726661
22,Kawela,Oahu,Low,5,4569482.89030692,12375.1367869061
23,Kahuku,Oahu,Low,5,11675923.5871771,16900.2052604934
24,Mokuleia,Oahu,High,2,5437496.08149812,27100.7457440969
25,Waialua,Oahu,High,2,9423001.17668292,14185.3965112897
26,Haleiwa,Oahu,High,2,5979565.36807961,13178.6118047583
27,Waimea,Oahu,Medium,2,4636909.97836128,15897.4877417685
28,Pupukea,Oahu,Medium,2,7004309.36162651,11660.7097395193
29,Sunset Beach,Oahu,Medium,2,3315697.19787167,10705.5950718192
30,Kapolei,Oahu,High,1,22767630.432216,23660.8772724083
31,Makakilo,Oahu,High,1,7430073.60847526,11656.9836322464
32,Wahiawa,Oahu,Medium,2,11898839.6575303,15322.518174617
33,Kualoa,Oahu,Low,5,7267225.35636507,11798.1874703957
34,Waiahole/Waikane,Oahu,Low,5,8015090.22278067,12132.9489180086
35,Schofield,Oahu,High,2,9337135.21240105,13166.9374092626
36,No Community Oahu,Oahu,N/A,0,928164373.800203,374483.126013522
37,Mana,Kauai,Medium,1,7541762.12306804,20369.0419556823
38,Kekaha,Kauai,Medium,1,3388800.87915321,11163.2574843282
39,Waimea,Kauai,Medium,1,2119629.53606364,6192.89613886983
40,Pakala,Kauai,Low,1,347947.163732187,2322.05088654141
41,Kaumakani,Kauai,Low,1,425186.34324574,2575.24445354115
42,Hanapepe,Kauai,Medium,1,2188762.04023874,9236.52902422896
43,Eleele,Kauai,Medium,1,2036061.21419386,8540.53314253397
44,Numila,Kauai,Medium,1,290261.756290111,2314.08901215644
45,Kalaheo,Kauai,Low,2,7248433.15245866,12681.3226419473
46,Lawai,Kauai,Low,2,2458781.67765688,7366.15606290833
47,Omao,Kauai,Low,2,2564679.47615286,7560.74630531008
48,Poipu,Kauai,Medium,2,5172989.96451105,17128.8238850773
49,Koloa,Kauai,Medium,2,2812175.02803164,8034.76629001171
50,Lihue,Kauai,High,3,16801632.5705633,19652.8310984943
51,Puhi,Kauai,Medium,3,2022661.49180671,5756.89689517711
52,Niumalu,Kauai,Medium,3,941666.549382688,5610.46749831259
53,Hanamaulu,Kauai,Medium,3,1928025.72454405,5514.48094685833
54,Kapaa,Kauai,High,3,10518719.5516873,14950.2174953665
55,Kealia,Kauai,High,3,1005790.76150904,4281.75804906165
56,Wailua Homestead,Kauai,Low,3,12317733.2149819,22301.1042947154
57,Waipouli,Kauai,High,3,2066849.76326512,6291.04609319016
58,Wailua House Lots,Kauai,Medium,3,2106699.48937368,6341.91461856844
59,Papaa,Kauai,High,3,9914451.28351121,15693.4794217585
60,Anahola,Kauai,High,3,3456495.06422271,7710.7522511351
61,Moloaa,Kauai,High,3,1975338.94550528,7822.61412631249
62,Kilauea,Kauai,Low,4,12602213.4056984,16770.9418543911
63,Kalihiwai,Kauai,Low,4,3479763.02871797,9154.97405435022
64,Princeville,Kauai,Low,4,6483842.98152651,12377.1229827115
65,Hanalei,Kauai,Low,4,3888582.50298435,12012.3219467294
66,No Community Kauai,Kauai,N/A,0,1288399130.29713,339413.632794053
67,Haena,Kauai,Low,4,625307.234707245,3828.77775316553
68,Lumahai,Kauai,Low,4,2378660.36970167,10441.9655402473
69,Wainiha,Kauai,Low,4,1294666.83219432,6901.79418986917
70,Kokee,Kauai,High,1,4255431.69256812,10490.9775086237
71,Kohala by the Sea,Hawaii,High,6,353339.694787082,3602.87736458814
72,Kohala Ranch,Hawaii,High,6,25840308.1899181,25672.9756007131
73,Kohala Estates,Hawaii,High,6,1682096.18780444,5729.35929191119
74,Kawaihae,Hawaii,High,6,2786303.39441512,14801.3997066585
75,Hapuna/Mauna Kea,Hawaii,High,6,5247541.60503073,11113.5489198363
76,Kawaihae Road Subdivisions,Hawaii,High,6,9688205.85354846,23235.1039716286
77,Waikoloa,Hawaii,High,6,3514505.97261147,11423.7033190003
78,Mauna Lani,Hawaii,High,6,3471415.58988858,11714.0288399883
79,Puako,Hawaii,High,6,1529290.38400794,10472.8483712466
80,Wailea Bay,Hawaii,High,6,411664.879609057,3333.86331743087
81,Waikoloa Village,Hawaii,High,6,6322907.61674318,10362.4730261788
82,Hualalai/Kukio,Hawaii,Medium,6,13326165.6274684,16634.0987193334
83,Puu Anahulu,Hawaii,High,6,5258650.89332736,9210.22644272444
84,Puu  Waawaa,Hawaii,High,6,609990.51295478,3016.73418876386
85,Waikii,Hawaii,High,6,14991779.7320329,16058.0044810908
86,No Community Hawaii,Hawaii,N/A,1,18838996.7335069,39635.7237602483
87,Kapaau,Hawaii,Low,1,20820173.9430398,24687.6202724814
88,Hawi,Hawaii,Low,1,29201872.9285467,26384.2904140371
89,Kukuihaele/Waipio,Hawaii,Low,1,11710904.4578623,19766.6672049949
90,Waimea,Hawaii,High,1,41494861.6321908,33956.149264261
91,Ahualoa,Hawaii,Low,1,15878707.5791725,15854.4922433212
92,Paauhau,Hawaii,Medium,1,3052183.96075999,7259.29921089265
93,Honokaa,Hawaii,Low,1,9543749.17145951,14387.7628801482
94,Paauilo,Hawaii,Medium,1,36674571.5514604,27302.5955918639
95,Kalopa,Hawaii,Low,1,8045159.56638817,12984.425176554
96,Kukaiau,Hawaii,Medium,1,2997454.9472738,7903.94585119035
97,Ookala,Hawaii,Medium,1,1294373.09262634,5640.09345258023
98,Waipunalei,Hawaii,Medium,1,2937606.58062833,7068.19075343595
99,Laupahoehoe,Hawaii,Low,1,25888645.2474765,21577.5702083748
100,Ninole,Hawaii,Low,1,2238260.2262249,7101.65793664011
101,Umauma,Hawaii,Low,1,1596251.8382617,6410.13271372821
102,Hakalau,Hawaii,Low,1,14296751.2160386,16814.192219346
103,Honomu,Hawaii,Low,1,1421421.60603534,4823.93331180094
104,Halepohaku,Hawaii,Medium,5,1023963.83641025,3700.88661711519
