Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,(none),Location
Kaala Elementary ,S ,,OAHU,96786,,"130 California Avenue
Wahiawa, HI
(21.493754065207895, -158.03519568464287)"
Hana High,,,MAUI,96713,,"4111 Hana Highway
Hana, HI
(20.775600458710414, -156.00055153911396)"
Kohala Intermediate   ,S,,HAWAII,96755,,"534155 Akoni Pule Highway
Kapaau, HI
(20.226843149651813, -155.77848195041892)"
Halawa District Park,,,OAHU,96701,,"99-795 Iwaiwa Street
Halawa, HI"
Honowai Elementary ,S ,,OAHU,96797,,"94-600 Honowai Street
Waipahu, HI
(21.384549391189978, -158.02570783723374)"
Pope Elementary ,S ,,OAHU,96795,,"41-133 Huli Street
Waimanalo, HI
(21.328174917875074, -157.6982046519148)"
Kailua High ,S,P ,OAHU,96734,,"451 Ulumanu Drive
Kailua, HI
(21.383991811531814, -157.74976885898363)"
Aiea Elementary ,S ,,OAHU,96701,,"99-370 Moanalua Road
Aiea, HI
(21.3758169742855, -157.9292825292522)"
Koko Head Elementary ,S ,,OAHU,96825,,"189 Lunalilo Home Road
Honolulu, HI
(21.27582534414273, -157.70484127271905)"
Ewa Beach Elementary,,,OAHU,96706,,"91-740 Papipi Road
Ewa Beach, HI
(21.315039114690403, -158.01443200998182)"
Kamalii Elementary  ,S,,MAUI,96753,,"180 Alanui Ke Alii
Kihei, HI
(20.722341796951866, -156.44166713901149)"
Kalama Intermediate  ,S,P ,MAUI,96768,,"120 Makani Road
Makawao, HI
(20.84959667528119, -156.32122279510145)"
Molokai High ,S,,MOLOKAI,96729,,"2140 Farrington Ave
Hoolehua, HI
(21.162138060123823, -157.0476861371497)"
Red Hill Elementary ,S ,,OAHU,96819,,"1265 Ala Kula Place
Honolulu, HI
(21.368874208219324, -157.90006355652025)"
Kainalu Elementary,,,OAHU,96734,,"165 Kaiholu Street
Kailua, HI
(21.414011180869863, -157.74812309967)"
Kaiulani Elementary ,S ,,OAHU,96817,,"783 North King Street
Honolulu, HI
(21.321443964394007, -157.86694152618114)"
Moanalua High ,S,P ,OAHU,96818,,"2825 Ala Ilima Street
Honolulu, HI
(21.345193217134415, -157.90125262682957)"
Pohakea Elementary,,,OAHU,96706,,"91-750 Ft. Weaver Road
Ewa Beach, HI
(21.36943425935157, -158.0259645167424)"
Aiea Intermediate ,S ,,OAHU,96701,,"99-600 Kulawea Street
Aiea, HI
(21.37945013043422, -157.92532928785243)"
Lunalilo Elementary,,,OAHU,96826,,"810 Pumehana Street
Honolulu, HI
(21.292233984882387, -157.83249749245894)"
Mauka Lani Elementary ,S ,,OAHU,96707,,"92-1300 Panana Street
Kapolei, HI
(21.358001404885044, -158.082805792874)"
Maui High  ,S,P ,MAUI,96732,,"660 S. Lono Avenue
Kahului, HI
(20.87397237062499, -156.4713453006978)"
Niu Valley Middle ,S ,,OAHU,96821,,"310 Halemaumau Street
Honolulu, HI
(21.285462090001715, -157.73905793361467)"
Hahaione Elementary ,S ,,OAHU,96825,,"595 Pepeekeo Street
Honolulu, HI
(21.296379859437423, -157.71082821511493)"
Mililani Mauka Elementary,,,OAHU,96789,,"95-1111 Makaikai Street
Mililani, HI
(21.47154980430446, -158.00130923057884)"
Royal Elementary ,S ,,OAHU,96813,,"1519 Queen Emma Street
Honolulu, HI
(21.31213598139078, -157.85436001099123)"
Lokelani Intermediate  ,S,P ,MAUI,96753,,"1401 Liloa Drive
Kihei, HI
(20.74817703624511, -156.44936012404224)"
Dole Middle ,S ,,OAHU,96819,,"1803 Kamehameha IV Road
Honolulu, HI
(21.34328923104267, -157.87186058576754)"
Likelike Elementary,,,OAHU,96817,,"1618 Palama Street
Honolulu, HI
(21.3249765460128, -157.86243512682842)"
Wahiawa Elementary ,S ,,OAHU,96786,,"1402 Glen Avenue
Wahiawa, HI
(21.504006336341945, -158.01819849828908)"
Mountain View Elementary   ,S,,HAWAII,96771,,"18-235 Volcano Hwy
Mountain View, HI
(19.540761087247713, -155.12032271397212)"
Waikoloa Elementary   ,S,,HAWAII,96738,,"68-1730 Ho'oko Street
Waikoloa, HI
(19.94626797055943, -155.78962395087498)"
Iao Elementary  ,S,,MAUI,96793,Intermediate?,"260 South Market Streeet
Wailuku, HI
(20.887650000347378, -156.50223999997587)"
Pearl City District Park,,,OAHU,96782,,"1310 Waimano Home Road
Pearl City, HI
(21.401519597882896, -157.96699110194075)"
Mililani-Uka Elementary ,S ,,OAHU,96789,,"94-380 Kuahelani Avenue
Mililani, HI
(21.43770831634191, -158.01584227457232)"
Washington Middle ,S,P ,OAHU,96826,,"1633 S. King Street
Honolulu, HI
(21.296820527231773, -157.8355102212571)"
Aliamanu Elementary ,S ,,OAHU,96818,,"3265 Salt Lake Boulevard
Honolulu, HI
(21.343941479488254, -157.91472645738776)"
Heeia Elementary ,S ,,OAHU,96744,,"46-202 Haiku Road
Kaneohe, HI
(21.419362146944195, -157.80892626207097)"
Waipahu Intermediate ,S ,,OAHU,96797,,"94-445 Farrington Highway
Waipahu, HI
(21.391799246898817, -157.99174826597744)"
Ewa Elementary ,S ,,OAHU,96706,,"91-1280 Renton Road
Ewa Beach, HI
(21.34336044224807, -158.0343503219353)"
